step,index,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,mean_unigram_logit_js_div,mean_bigram_logit_js_div,mean_bigram_token_js_div,mean_logit_token_js_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,bottom_conf_unigram_logit_js_div,bottom_conf_bigram_logit_js_div,bottom_conf_bigram_token_js_div,bottom_conf_logit_token_js_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div,top_conf_unigram_logit_js_div,top_conf_bigram_logit_js_div,top_conf_bigram_token_js_div,top_conf_logit_token_js_div
0,1023.5,5.398491646384936,3.1040263706778686,0.36683121227057086,0.5642045493560741,0.6192204810054132,0.6930216169742675,4.600485897382096,3.082590697259793,0.3665492233077545,0.5268445654620619,0.5562088445020461,0.6929785988107023,6.196497395387776,3.1254620440959435,0.36711320123338725,0.6015645332500862,0.6822321175087803,0.6930646351378325
1,1023.5,5.398491646384936,3.1040263706778686,0.36683121227057086,0.5642045493560741,0.6192204810054132,0.6930216169742675,4.600485897382096,3.082590697259793,0.3665492233077545,0.5268445654620619,0.5562088445020461,0.6929785988107023,6.196497395387776,3.1254620440959435,0.36711320123338725,0.6015645332500862,0.6822321175087803,0.6930646351378325
2,1023.5,5.393700045197505,3.099403716785457,0.36680720800455147,0.5641895386734616,0.6192204810054132,0.6930209903509593,4.596575871229522,3.0779770936166435,0.3665250184183355,0.526828855340927,0.5562088445020461,0.6929778575809474,6.1908242191654885,3.12083033995427,0.3670893975907674,0.6015502220059961,0.6822321175087803,0.6930641231209712
4,1023.5,5.21141674630549,2.923556753316252,0.36571308700219457,0.5634886760543706,0.6192204810054132,0.6929900426561507,4.44470649546909,2.9032199621671446,0.36542216206361,0.5261075423827584,0.5562088445020461,0.6929282313208212,5.97812699714189,2.9438935444653596,0.36600401194077914,0.6008698097259828,0.6822321175087803,0.6930518539914803
8,1023.5,4.7096856862253444,2.4379737609286636,0.3571696981767501,0.5576280283840145,0.6192204810054132,0.6924198427183261,3.990757249862342,2.425536043294287,0.35651790199291733,0.5201978402767004,0.5562088445020461,0.6915967918066503,5.428614122588346,2.45041147856304,0.3578214943605828,0.5950582164913285,0.6822321175087803,0.6932428936300019
16,1023.5,4.10720694726006,1.8718449322879875,0.3120343025664329,0.5218550714207686,0.6192204810054132,0.684307330458751,3.37810346095006,1.856816000818889,0.31071674417014644,0.48128884633363533,0.5562088445020461,0.6717954207463508,4.83631043357006,1.8868738637570863,0.3133518609627194,0.5624212965079018,0.6822321175087803,0.6968192401711513
32,1023.5,3.7379996906653363,1.9061864097125394,0.3098436282304439,0.4994113897821393,0.6192204810054132,0.676140401654369,3.005109835219701,1.7856202155111325,0.30313783419689483,0.4510459062029394,0.5562088445020461,0.6523619859126978,4.470889546110971,2.026752603913946,0.316549422263993,0.5477768733613392,0.6822321175087803,0.6999188173960401
64,1023.5,3.091667750764079,1.9785224792499614,0.2999447140400808,0.45887200234889236,0.6192204810054132,0.6620510684217317,2.4296720227101387,1.7296818894739896,0.28114808384776374,0.4051878737886508,0.5562088445020461,0.6222891756530642,3.7536634788180194,2.2273630690259334,0.31874134423239786,0.5125561309091339,0.6822321175087803,0.7018129611903993
128,1023.5,2.1093152808237736,1.3243005968043264,0.2227087009454498,0.3601101317010445,0.6192204810054132,0.6375582574287273,1.5477084558424417,1.0202935125981343,0.1849946424354432,0.3046308159767895,0.5562088445020461,0.5766481073433334,2.6709221058051056,1.6283076810105186,0.2604227594554564,0.4155894474252995,0.6822321175087803,0.6984684075141212
256,1023.5,1.1553471374331565,1.3639075938150047,0.24341547410062794,0.20367847509349324,0.6192204810054132,0.6144323843566403,0.6602410873522837,1.0537121523977335,0.19813847140369742,0.1393869481167771,0.5562088445020461,0.5415473145501076,1.6504531875140294,1.6741030352322759,0.28869247679755844,0.2679700020702094,0.6822321175087803,0.6873174541631728
512,1023.5,1.4043358317806287,2.4084699147043347,0.38022102778492506,0.22237320622320786,0.6192204810054132,0.5764368240674075,0.8677374230235592,1.9402027954744125,0.32377576881455145,0.15406341055395414,0.5562088445020461,0.48148542363485963,1.9409342405376981,2.876737033934257,0.43666628675529867,0.29068300189246155,0.6822321175087803,0.6713882244999554
1000,1023.5,2.662112995205889,4.044393707730093,0.4992213491053394,0.3369571918442122,0.6192204810054132,0.4634712616529468,1.626744408715834,3.0948551876513606,0.4370987151493414,0.24782136578728695,0.5562088445020461,0.31738408355621417,3.6974815816959437,4.993932227808825,0.5613439830613374,0.42609301790113746,0.6822321175087803,0.6095584397496795
2000,1023.5,3.6350856061847123,5.524998033330113,0.5486699698902531,0.3952372049153291,0.6192204810054132,0.41057241825464724,2.3449696641138136,4.26206605229764,0.4935542316399588,0.3067717173938028,0.5562088445020461,0.25581333340699147,4.925201548255611,6.787930014362585,0.6037857081405472,0.4837026924368554,0.6822321175087803,0.565331503102303
3000,1023.5,4.089903535767658,6.181216529626459,0.564044048659871,0.4149687487019594,0.6192204810054132,0.39444628904888923,2.6575142124492785,4.754219474886339,0.5131660322827151,0.3280678397596077,0.5562088445020461,0.23880990136876323,5.522292859086039,7.608213584366579,0.6149220650370271,0.501869657644311,0.6822321175087803,0.5500826767290152
4000,1023.5,4.300148920176781,6.455092623384423,0.5701113986345697,0.4233409557074849,0.6192204810054132,0.38483175634886063,2.8282115822047937,5.002629718362574,0.520845778150845,0.336599466036569,0.5562088445020461,0.22829312232218732,5.772086258148769,7.907555528406271,0.6193770191182943,0.5100824453784009,0.6822321175087803,0.5413703903755339
5000,1023.5,4.433291754367974,6.601101744948815,0.5734516739535745,0.42910417630057546,0.6192204810054132,0.3805021862187336,2.925377366791734,5.1104516359358625,0.5243759532939465,0.3429382814137017,0.5562088445020461,0.22378386918776613,5.941206141944214,8.09175185396177,0.6225273946132026,0.5152700711874493,0.6822321175087803,0.5372205032497012
6000,1023.5,4.570815946927975,6.738985359339565,0.5749457624367055,0.43255469029801047,0.6192204810054132,0.37509411421836925,2.977786137450304,5.1680778518946875,0.5257975327413974,0.34586163084881516,0.5562088445020461,0.21763417339875676,6.163845756405645,8.309892866784441,0.6240939921320137,0.5192477497472059,0.6822321175087803,0.5325540550379817
7000,1023.5,4.639175605459686,6.811253426876777,0.5765434013979583,0.4356085313307886,0.6192204810054132,0.3721132775325478,3.040754963734053,5.230141246797866,0.5274233133224226,0.3493548472762454,0.5562088445020461,0.2147674793693381,6.237596247185318,8.392365606955687,0.625663489473494,0.5218622153853318,0.6822321175087803,0.5294590756957576
8000,1023.5,4.726382040115959,6.983081344199569,0.5807172388651127,0.43939126790999616,0.6192204810054132,0.3703283764285787,3.1236724818081574,5.4082130145645815,0.5334804588414661,0.3534054384740778,0.5562088445020461,0.21295960825386825,6.3290915984237595,8.557949673834555,0.6279540188887592,0.5253770973459145,0.6822321175087803,0.5276971446032892
9000,1023.5,4.7704654276140435,6.940176545579332,0.5801865493213946,0.44115990773448827,0.6192204810054132,0.3682087405597456,3.1454488503204328,5.362498966116638,0.5323617642616153,0.3553835174294233,0.5562088445020461,0.21069514313410934,6.395482004907654,8.517854125042026,0.6280113343811737,0.5269362980395532,0.6822321175087803,0.5257223379853819
10000,1023.5,4.868622374110782,7.096005865638769,0.5826357528740401,0.4435516852412829,0.6192204810054132,0.36715384490362024,3.2036794983902426,5.473130239149611,0.535516329700401,0.3579056185724656,0.5562088445020461,0.2095953686302563,6.533565249831321,8.718881492127927,0.6297551760476792,0.5291977519101002,0.6822321175087803,0.5247123211769842
11000,1023.5,4.87402216825308,7.106237395606787,0.5819461491680301,0.44305302149577014,0.6192204810054132,0.3646089244369893,3.2058835923916873,5.464621127506158,0.5344274132651202,0.35716210194506626,0.5562088445020461,0.20689057863110497,6.542160744114473,8.747853663707415,0.6294648850709399,0.528943941046474,0.6822321175087803,0.5223272702428736
