step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2859106063842773,3.09694766998291,3.17488427626659,2.989161002135226,3.3969369365019646,3.2047343378305944
1,3.2859106063842773,3.09694766998291,3.17488427626659,2.989161002135226,3.3969369365019646,3.2047343378305944
2,3.2858848571777344,3.091466188430786,3.1748589620757626,2.983774952014791,3.396910752279706,3.1991574248467813
4,3.284878969192505,2.832083225250244,3.1738700692329447,2.7290087533173946,3.395887869152065,2.9351576971830937
8,3.329833984375,2.0583839416503906,3.218068062818335,1.9705097576379762,3.441599905931665,2.146258125662805
16,3.4189865589141846,1.5112208127975464,3.3057343166170554,1.4359265170118176,3.5322388012113137,1.5865151085832752
32,3.4274697303771973,1.6284323930740356,3.3140770746904598,1.5502726759110972,3.5408623860639348,1.706592110236974
64,3.4343082904815674,1.6468174457550049,3.3208025694517556,1.568217754111627,3.547814011511379,1.7254171373983829
128,3.6325573921203613,1.1322401762008667,3.5158215138773032,1.0670672241148627,3.7492932703634194,1.1974131282868707
256,3.9130868911743164,1.5550854206085205,3.7919272834609616,1.478706197334269,4.034246498887671,1.631464643882772
1000,5.370850563049316,4.44601583480835,5.228905710786056,4.316869045044837,5.512795415312577,4.575162624571862
2000,6.713912487030029,6.220737457275391,6.555209189443883,6.067974151107321,6.872615784616175,6.37350076344346
4000,7.759397983551025,7.155798435211182,7.588784980804346,6.9919557103370185,7.930010986297705,7.319641160085345
8000,8.297532081604004,7.391979694366455,8.121102021195655,7.22545505749001,8.473962142012352,7.5585043312429
16000,8.560181617736816,7.589128017425537,8.380980958824827,7.420397339237968,8.739382276648806,7.757858695613106
33000,8.982516288757324,8.080676078796387,8.7989482282422,7.906566781900191,9.166084349272449,8.254785375692583
66000,9.220624923706055,8.422791481018066,9.034639764516005,8.245034716275505,9.406610082896105,8.600548245760628
131000,9.78037166595459,9.151610374450684,9.588824472933787,8.966322553590619,9.971918858975393,9.336898195310749
143000,9.750273704528809,9.100445747375488,9.559021470763145,8.915676604072559,9.941525938294472,9.285214890678418
