step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,6.222369194030762,3.918351888656616,6.069585853810525,3.797110799159351,6.375152534250998,4.039592978153881
1,6.222369194030762,3.918351888656616,6.069585853810525,3.797110799159351,6.375152534250998,4.039592978153881
2,6.2030768394470215,3.899710178375244,6.0505305342321645,3.7787578373007666,6.3556231446618785,4.020662519449721
4,5.8242645263671875,3.5338611602783203,5.676449475058375,3.4187220540016137,5.972079577676,3.649000266555027
8,7.218114852905273,4.996180534362793,7.053560260631597,4.859276207512042,7.38266944517895,5.133084861213544
16,5.2152276039123535,3.017162322998047,5.0753543281152815,2.9107731456821746,5.3551008797094255,3.123551500313919
32,3.220426321029663,1.0975251197814941,3.1105118696664706,1.033359063599619,3.3303407723928555,1.1616911759633692
64,2.582275390625,0.8888867497444153,2.483851757788371,0.8311408265471699,2.680699023461629,0.9466326729416606
128,1.8072181940078735,1.2508987188339233,1.7248796074033317,1.1823957826709472,1.8895567806124154,1.3194016549968994
256,1.4406477212905884,2.173473358154297,1.3671325436453992,2.083175952391313,1.5141628989357776,2.2637707639172806
1000,3.1068525314331055,4.830246448516846,2.9988936359825504,4.69563476442543,3.2148114268836605,4.964858132608262
2000,4.302278995513916,6.177262306213379,4.1752369733829955,6.0250337479237785,4.4293210176448365,6.329490864502979
4000,5.014928340911865,6.968090534210205,4.877767392775392,6.806411016487001,5.152089289048338,7.129770051933409
8000,5.448120594024658,7.381753444671631,5.30515831305038,7.215344034835954,5.5910828749989365,7.548162854507308
16000,5.766460418701172,7.623795986175537,5.619380706843154,7.454680356994011,5.9135401305591895,7.792911615357063
33000,6.195620059967041,8.102023124694824,6.043165471028217,7.927684003728128,6.348074648905865,8.27636224566152
66000,6.669477462768555,8.700790405273438,6.51130021402435,8.520123973905594,6.82765471151276,8.88145683664128
131000,7.266202926635742,9.49894905090332,7.101101101623002,9.310177783426717,7.431304751648482,9.687720318379924
143000,7.2820892333984375,9.508084297180176,7.116807023511831,9.319222279790221,7.447371443285044,9.69694631457013
