step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2860703468322754,3.0992815494537354,3.175041318044068,2.991454274895596,3.3970993756204826,3.2071088240118746
1,3.2860703468322754,3.0992815494537354,3.175041318044068,2.991454274895596,3.3970993756204826,3.2071088240118746
2,3.2860682010650635,3.0992772579193115,3.1750392085272194,2.991450058014703,3.3970971936029075,3.20710445782392
4,3.286069393157959,3.0992627143859863,3.1750403804810228,2.991435767474283,3.397098405834895,3.20708966129769
8,3.286067008972168,3.09907603263855,3.1750380365734197,2.99125233321308,3.3970959813709163,3.2068997320640196
16,3.285902261734009,3.092677593231201,3.17487607259345,2.984965259236387,3.3969284508745674,3.2003899272260155
32,3.284729242324829,3.0649564266204834,3.1737228723221462,2.957727918156427,3.395735612327512,3.1721849350845397
64,3.2828338146209717,2.9693241119384766,3.1718594769252655,2.863781724213241,3.393808152316678,3.0748664996637123
128,3.2763962745666504,2.6977028846740723,3.165530798963616,2.597103535546623,3.3872617501696847,2.7983022338015213
256,3.259082078933716,2.3763387203216553,3.1485099270113257,2.2819212664074078,3.369654230856106,2.4707561742359028
1000,3.864344596862793,0.5687509179115295,3.7439419494754893,0.5225597260936962,3.9847472442500966,0.6149421097293629
2000,3.7661094665527344,2.1650493144989014,3.6472470426731256,2.0749270679519176,3.884971890432343,2.255171561045885
4000,4.353482723236084,3.605512857437134,4.225686939610736,3.489212342667543,4.481278506861432,3.7218133722067246
8000,5.506119251251221,4.9939165115356445,5.36239802326951,4.857043207347203,5.649840479232932,5.130789815724086
16000,6.339959621429443,5.391622543334961,6.185739387107228,5.249403467249902,6.494179855751659,5.53384161942002
33000,6.5801544189453125,5.762735366821289,6.423039959541672,5.615703168344667,6.737268878348953,5.909767565297911
66000,7.202672481536865,6.738959789276123,7.038294006832708,6.579960733520225,7.367050956241022,6.897958845032021
131000,6.930205345153809,7.439980983734131,6.768965948541549,7.272916541359287,7.091444741766068,7.607045426108975
143000,7.01680850982666,7.641242504119873,6.854564778777232,7.471933480938649,7.179052240876088,7.810551527301097
