step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.283827304840088,3.182497978210449,3.1728361762275816,3.073232698734029,3.394818433452594,3.2917632576868696
1,3.283827304840088,3.182497978210449,3.1728361762275816,3.073232698734029,3.394818433452594,3.2917632576868696
2,3.2837910652160645,3.1778218746185303,3.1728005490425653,3.0686368974061176,3.3947815813895637,3.287006851830943
4,3.2823410034179688,2.9969677925109863,3.171374995636685,2.890935256037996,3.3933070111992527,3.1030003289839767
8,3.2819037437438965,2.475905179977417,3.1709451274213905,2.3795300189000828,3.3928623600664025,2.5722803410547512
16,3.343818426132202,1.856602668762207,3.2318180564870556,1.7731466625137282,3.4558187957773487,1.9400586750106859
32,3.370074987411499,1.8630584478378296,3.257635749103332,1.7794574708843658,3.482514225719666,1.9466594247912934
64,3.3543689250946045,1.9656187295913696,3.2421920014324206,1.8797474857750553,3.4665458487567884,2.051489973407684
128,3.4685261249542236,1.2145956754684448,3.3544563466011943,1.147094089324572,3.582595903307253,1.2820972616123176
256,3.8046395778656006,1.3611856698989868,3.685170675555855,1.2897266925238802,3.924108480175346,1.4326446472740935
1000,5.102873802185059,4.097784519195557,4.964515403584986,3.9737985128398448,5.241232200785131,4.2217705255512685
2000,6.626002311706543,5.729031085968018,6.4683414469752565,5.582429488706755,6.7836631764378295,5.87563268322928
4000,7.596237659454346,6.6870036125183105,7.427427964685795,6.528618669893959,7.765047354222896,6.845388555142662
8000,8.038078308105469,7.07452392578125,7.8644285314296765,6.911614308822159,8.211728084781262,7.237433542740341
16000,8.552079200744629,7.578683376312256,8.372963370769087,7.410068847051823,8.731195030720171,7.7472979055726885
33000,8.808378219604492,7.900643348693848,8.62659822345608,7.728484503298527,8.990158215752905,8.072802194089169
66000,9.003158569335938,8.210094451904297,8.819379705477608,8.034596444684597,9.186937433194267,8.385592459123997
131000,8.967449188232422,8.13720989227295,8.784035149104335,7.962492607478433,9.150863227360508,8.311927177067465
143000,9.026476860046387,8.187562942504883,8.84246015533959,8.012305916172746,9.210493564753184,8.36281996883702
