step,mean_unigram_loss,mean_bigram_loss,bottom_conf_unigram_loss,top_conf_unigram_loss,bottom_conf_bigram_loss,top_conf_bigram_loss
0,11.029296875,11.009765625,11.00387064102556,11.05472310897444,10.984361914047055,11.035169335952945
1,11.0234375,11.01171875,10.998018020836565,11.048856979163435,10.98631278584638,11.03712471415362
2,11.029296875,11.005859375,11.00387064102556,11.05472310897444,10.980460171048056,11.031258578951944
4,11.025390625,10.8203125,10.999968894033472,11.050812355966528,10.795128307657537,10.845496692342463
8,11.01953125,10.302734375,10.99411627504129,11.04494622495871,10.278159892717039,10.327308857282961
16,11.064453125,9.693359375,11.038986399784166,11.089919850215834,9.669522721533522,9.717196028466478
32,11.033203125,9.373046875,11.007772388814994,11.058633861185006,9.349607365452442,9.396486384547558
64,10.9453125,8.744140625,10.919983257114122,10.970641742885878,8.72150113222977,8.76678011777023
128,10.869140625,7.6884765625,10.8438996730806,10.8943815769194,7.667247624283005,7.709705500716995
256,11.373046875,6.7353515625,11.347227451545853,11.398866298454147,6.715482002025625,6.755221122974375
512,12.15625,6.83984375,12.129556351512315,12.182943648487685,6.819820654621531,6.859866845378469
1000,12.49609375,7.107421875,12.46902954570397,12.52315795429603,7.087010880155493,7.127832869844507
2000,12.318359375,7.13671875,12.291488329722531,12.345230420277469,7.116265731238563,7.157171768761437
3000,12.21875,7.0205078125,12.191987818284025,12.245512181715975,7.0002220008327285,7.0407936241672715
4000,11.9609375,6.9140625,11.934459161113983,11.987415838886017,6.893931063004212,6.934193936995788
5000,11.736328125,6.86328125,11.71009957710218,11.76255667289782,6.843223878256278,6.883338621743722
6000,11.69140625,6.814453125,11.665227946316199,11.717584553683801,6.794467228687588,6.834439021312412
7000,11.61328125,6.80078125,11.587190558020048,11.639371941979952,6.78081541266091,6.82074708733909
8000,11.666015625,6.8037109375,11.639865762923183,11.692165487076817,6.783740800113334,6.823681074886666
9000,11.58984375,6.7861328125,11.563779398957585,11.615908101042415,6.766188489305306,6.806077135694694
10000,11.55078125,6.7568359375,11.5247608597766,11.5768016402234,6.73693471236733,6.77673716263267
11000,11.50390625,6.732421875,11.477938710996144,11.529873789003856,6.712556636344159,6.752287113655841
12000,11.517578125,6.7568359375,11.491595159952178,11.543561090047822,6.73693471236733,6.77673716263267
13000,11.47265625,6.734375,11.446724004983237,11.498588495016763,6.714506880027347,6.754243119972653
14000,11.46875,6.712890625,11.442822170109688,11.494677829890312,6.6930542225310194,6.7327270274689806
15000,11.513671875,6.6982421875,11.487693316458621,11.539650433541379,6.678427439710669,6.718056935289331
16000,11.447265625,6.697265625,11.421362091756741,11.473169158243259,6.677452321697479,6.717078928302521
17000,11.423828125,6.6982421875,11.39795112320779,11.44970512679221,6.678427439710669,6.718056935289331
18000,11.423828125,6.6953125,11.39795112320779,11.44970512679221,6.675502085987076,6.715122914012924
19000,11.455078125,6.72265625,11.429165753976463,11.480990496023537,6.7028054242014985,6.7425070757985015
20000,11.4765625,6.685546875,11.450625840608362,11.502499159391638,6.6657509137605855,6.7053428362394145
21000,11.48046875,6.6787109375,11.454527676984679,11.506409823015321,6.658925099483564,6.698496775516436
22000,11.4765625,6.677734375,11.450625840608362,11.502499159391638,6.657949983581117,6.697518766418883
23000,11.427734375,6.671875,11.401852949410545,11.453615800589455,6.652099290388638,6.691650709611362
24000,11.537109375,6.6904296875,11.511104388620106,11.563114361379894,6.670626498555339,6.710232876444661
25000,11.439453125,6.712890625,11.413558432553327,11.465347817446673,6.6930542225310194,6.7327270274689806
26000,11.408203125,6.705078125,11.382343825964636,11.434062424035364,6.685253268749965,6.724902981250035
27000,11.423828125,6.6796875,11.39795112320779,11.44970512679221,6.659900215491767,6.699474784508233
28000,11.47265625,6.6962890625,11.446724004983237,11.498588495016763,6.676477203789607,6.716100921210393
29000,11.3984375,6.65234375,11.372589271344456,11.424285728655544,6.632597007314413,6.672090492685587
30000,11.505859375,6.6923828125,11.479889631714572,11.531829118285428,6.672576733211757,6.712188891788243
31000,11.41015625,6.662109375,11.384294737457331,11.436017762542669,6.6423481435438925,6.6818706064561075
32000,11.412109375,6.6708984375,11.386245649139466,11.437973100860534,6.6511241752271415,6.6906726997728585
33000,11.455078125,6.6650390625,11.429165753976463,11.480990496023537,6.6452734864837755,6.6848046385162245
34000,11.44921875,6.7099609375,11.423313007029012,11.475124492970988,6.6901288640753656,6.7297930109246344
35000,11.361328125,6.658203125,11.335522007098634,11.387134242901366,6.638447687776962,6.677958562223038
36000,11.40234375,6.6748046875,11.376491092623674,11.428196407376326,6.6550246365085535,6.6945847384914465
37000,11.466796875,6.650390625,11.440871252954873,11.492722497045127,6.630646781344406,6.670134468655594
38000,11.421875,6.6640625,11.396000210390037,11.447749789609963,6.644298372064367,6.683826627935633
39000,11.421875,6.6640625,11.396000210390037,11.447749789609963,6.644298372064367,6.683826627935633
40000,11.45703125,6.66015625,11.431116670002329,11.482945829997671,6.640397915448029,6.679914584551971
41000,11.458984375,6.689453125,11.433067586216474,11.484901163783526,6.6696513813853375,6.7092548686146625
42000,11.513671875,6.6630859375,11.487693316458621,11.539650433541379,6.6433232577510655,6.6828486172489345
43000,11.44140625,6.6728515625,11.415509347071232,11.467303152928768,6.653074405656055,6.692628719343945
44000,11.4765625,6.6669921875,11.450625840608362,11.502499159391638,6.647223715640815,6.686760659359185
45000,11.46484375,6.6787109375,11.438920335988097,11.490767164011903,6.658925099483564,6.698496775516436
46000,11.46875,6.6875,11.442822170109688,11.494677829890312,6.667701147361864,6.707298852638136
47000,11.462890625,6.6259765625,11.436969419209406,11.488811830790594,6.606268992701344,6.645684132298656
48000,11.390625,6.6650390625,11.364785631063192,11.416464368936808,6.6452734864837755,6.6848046385162245
49000,11.515625,6.6796875,11.489644238111978,11.541605761888022,6.659900215491767,6.699474784508233
50000,11.3984375,6.66015625,11.372589271344456,11.424285728655544,6.640397915448029,6.679914584551971
51000,11.513671875,6.669921875,11.487693316458621,11.539650433541379,6.650149060171588,6.689694689828412
52000,11.51953125,6.669921875,11.493546081979174,11.545516418020826,6.650149060171588,6.689694689828412
53000,11.431640625,6.7021484375,11.405754776369312,11.457526473630688,6.682327912816147,6.721968962183853
54000,11.4140625,6.6806640625,11.388196561010993,11.439928438989007,6.660875331605704,6.700452793394296
55000,11.48828125,6.6806640625,11.46233135198935,11.51423114801065,6.660875331605704,6.700452793394296
56000,11.47265625,6.6787109375,11.446724004983237,11.498588495016763,6.658925099483564,6.698496775516436
57000,11.470703125,6.671875,11.444773087452491,11.496633162547509,6.652099290388638,6.691650709611362
58000,11.443359375,6.6484375,11.417460261777803,11.469258488222197,6.628696555800131,6.668178444199869
59000,11.458984375,6.7109375,11.433067586216474,11.484901163783526,6.691103983455595,6.730771016544405
60000,11.453125,6.6640625,11.427214838138921,11.479035161861079,6.644298372064367,6.683826627935633
61000,11.44921875,6.673828125,11.423313007029012,11.475124492970988,6.654049521029368,6.693606728970632
62000,11.462890625,6.6875,11.436969419209406,11.488811830790594,6.667701147361864,6.707298852638136
63000,11.4296875,6.677734375,11.403803862795451,11.455571137204549,6.657949983581117,6.697518766418883
64000,11.431640625,6.6650390625,11.405754776369312,11.457526473630688,6.6452734864837755,6.6848046385162245
65000,11.458984375,6.6689453125,11.433067586216474,11.484901163783526,6.649173945222,6.688716679778
66000,11.46484375,6.6708984375,11.438920335988097,11.490767164011903,6.6511241752271415,6.6906726997728585
67000,11.44140625,6.6962890625,11.415509347071232,11.467303152928768,6.676477203789607,6.716100921210393
68000,11.443359375,6.6552734375,11.417460261777803,11.469258488222197,6.635522347067265,6.675024527932735
69000,11.44921875,6.6875,11.423313007029012,11.475124492970988,6.667701147361864,6.707298852638136
70000,11.50390625,6.646484375,11.477938710996144,11.529873789003856,6.626746330681777,6.666222419318223
71000,11.4140625,6.6640625,11.388196561010993,11.439928438989007,6.644298372064367,6.683826627935633
72000,11.490234375,6.685546875,11.464282271209415,11.516186478790585,6.6657509137605855,6.7053428362394145
73000,11.466796875,6.671875,11.440871252954873,11.492722497045127,6.652099290388638,6.691650709611362
74000,11.4375,6.6767578125,11.411607518224134,11.463392481775866,6.656974867784451,6.696540757215549
75000,11.5078125,6.6806640625,11.481840552620081,11.533784447379919,6.660875331605704,6.700452793394296
76000,11.46484375,6.6787109375,11.438920335988097,11.490767164011903,6.658925099483564,6.698496775516436
77000,11.466796875,6.6904296875,11.440871252954873,11.492722497045127,6.670626498555339,6.710232876444661
78000,11.47265625,6.69921875,11.446724004983237,11.498588495016763,6.679402557829154,6.719034942170846
79000,11.419921875,6.68359375,11.394049297761432,11.445794452238568,6.663800680581686,6.703386819418314
80000,11.48046875,6.7060546875,11.454527676984679,11.506409823015321,6.68622838760487,6.72588098739513
81000,11.4375,6.6953125,11.411607518224134,11.463392481775866,6.675502085987076,6.715122914012924
82000,11.427734375,6.7158203125,11.401852949410545,11.453615800589455,6.695979581931225,6.735661043068775
83000,11.466796875,6.6865234375,11.440871252954873,11.492722497045127,6.666726030508439,6.706320844491561
84000,11.4921875,6.6806640625,11.466233190616942,11.518141809383058,6.660875331605704,6.700452793394296
85000,11.439453125,6.6708984375,11.413558432553327,11.465347817446673,6.6511241752271415,6.6906726997728585
86000,11.44921875,6.6865234375,11.423313007029012,11.475124492970988,6.666726030508439,6.706320844491561
87000,11.4296875,6.689453125,11.403803862795451,11.455571137204549,6.6696513813853375,6.7092548686146625
88000,11.537109375,6.7001953125,11.511104388620106,11.563114361379894,6.6803776760529106,6.7200129489470894
89000,11.423828125,6.6806640625,11.39795112320779,11.44970512679221,6.660875331605704,6.700452793394296
90000,11.41796875,6.6826171875,11.392098385322024,11.443839114677976,6.662825564150687,6.702408810849313
91000,11.40625,6.669921875,11.380392914661428,11.432107085338572,6.650149060171588,6.689694689828412
92000,11.470703125,6.7080078125,11.444773087452491,11.496633162547509,6.6881786256299876,6.7278369993700124
93000,11.48046875,6.673828125,11.454527676984679,11.506409823015321,6.654049521029368,6.693606728970632
94000,11.453125,6.69921875,11.427214838138921,11.479035161861079,6.679402557829154,6.719034942170846
95000,11.505859375,6.662109375,11.479889631714572,11.531829118285428,6.6423481435438925,6.6818706064561075
96000,11.46484375,6.6669921875,11.438920335988097,11.490767164011903,6.647223715640815,6.686760659359185
97000,11.41015625,6.681640625,11.384294737457331,11.436017762542669,6.661850447825351,6.701430802174649
98000,11.462890625,6.6611328125,11.436969419209406,11.488811830790594,6.641373029442873,6.680892595557127
99000,11.45703125,6.669921875,11.431116670002329,11.482945829997671,6.650149060171588,6.689694689828412
100000,11.453125,6.6875,11.427214838138921,11.479035161861079,6.667701147361864,6.707298852638136
101000,11.4609375,6.6923828125,11.43501850261885,11.48685649738115,6.672576733211757,6.712188891788243
102000,11.4609375,6.6943359375,11.43501850261885,11.48685649738115,6.674526968289908,6.714144906710092
103000,11.44140625,6.6748046875,11.415509347071232,11.467303152928768,6.6550246365085535,6.6945847384914465
104000,11.453125,6.6552734375,11.427214838138921,11.479035161861079,6.635522347067265,6.675024527932735
105000,11.509765625,6.6865234375,11.483791473712625,11.535739776287375,6.666726030508439,6.706320844491561
106000,11.46484375,6.681640625,11.438920335988097,11.490767164011903,6.661850447825351,6.701430802174649
107000,11.44140625,6.6650390625,11.415509347071232,11.467303152928768,6.6452734864837755,6.6848046385162245
108000,11.4453125,6.66796875,11.419411176672988,11.471213823327012,6.6481988303784005,6.6877386696215995
109000,11.462890625,6.724609375,11.436969419209406,11.488811830790594,6.704755665792986,6.744463084207014
110000,11.41796875,6.677734375,11.392098385322024,11.443839114677976,6.657949983581117,6.697518766418883
111000,11.517578125,6.685546875,11.491595159952178,11.543561090047822,6.6657509137605855,6.7053428362394145
112000,11.486328125,6.6953125,11.460380432956796,11.512275817043204,6.675502085987076,6.715122914012924
113000,11.517578125,6.7197265625,11.491595159952178,11.543561090047822,6.699880062599737,6.739573062400263
114000,11.509765625,6.6826171875,11.483791473712625,11.535739776287375,6.662825564150687,6.702408810849313
115000,11.6171875,6.7177734375,11.591092420448843,11.643282579551157,6.6979298220558094,6.7376170529441906
