step,mean_bigram_logit_kl_div,mean_unigram_logit_kl_div,bottom_conf_bigram_logit_kl_div,bottom_conf_unigram_logit_kl_div,top_conf_bigram_logit_kl_div,top_conf_unigram_logit_kl_div
0,3.2855472564697266,3.1615421772003174,3.1745270650648156,3.052637231532004,3.3965674478746375,3.2704471228686307
1,3.2855472564697266,3.1615421772003174,3.1745270650648156,3.052637231532004,3.3965674478746375,3.2704471228686307
2,3.2855417728424072,3.1610326766967773,3.174521674084712,3.0521365067077437,3.3965618716001025,3.269928846685811
4,3.2854158878326416,3.151697874069214,3.1743979159540205,3.0429626128620457,3.3964338597112627,3.260433135276382
8,3.283252716064453,3.031559944152832,3.1722712982315877,2.9249172292560535,3.3942341338973185,3.1382026590496106
16,3.282200813293457,2.659228801727295,3.1712371752392277,2.5593493923252604,3.3931644513476864,2.7591082111293295
32,3.302523136138916,2.0736591815948486,3.1912165027665833,1.9854595436863054,3.4138297695112487,2.161858819503392
64,3.3144125938415527,1.6031179428100586,3.202905782223872,1.5255681127987306,3.4259194054592337,1.6806677728213866
128,3.727308988571167,0.6339895725250244,3.609060442103161,0.5852210981048637,3.845557535039173,0.6827580469451852
256,3.8136494159698486,1.5504103899002075,3.694039139038189,1.4741460619176263,3.9332596929015082,1.6266747178827887
1000,5.311928749084473,4.547511577606201,5.170764658962688,4.416898994232505,5.453092839206257,4.678124160979897
2000,6.412262439727783,5.689184188842773,6.257165311296107,5.543093307237298,6.56735956815946,5.835275070448249
4000,7.036017894744873,6.174394607543945,6.873552234297687,6.022201388235358,7.198483555192059,6.326587826852532
8000,7.331579208374023,6.5578789710998535,7.165736310377031,6.401030672766669,7.497422106371016,6.714727269433038
16000,7.401613712310791,6.5820698738098145,7.234980594416927,6.4249325483958515,7.568246830204655,6.739207199223777
33000,7.930604457855225,7.086196422576904,7.758119487812361,6.923152465958679,8.10308942789809,7.24924037919513
66000,7.855730056762695,6.991880416870117,7.684061249991331,6.8299251378485515,8.027398863534058,7.153835695891683
131000,7.826292037963867,7.786450386047363,7.6549451829897075,7.615540229078116,7.997638892938027,7.957360543016611
143000,7.772143840789795,8.08479118347168,7.601390768111704,7.910637559418891,7.9428969134678855,8.258944807524468
